name,crunchlink,category,country,state,city,round,date,year,money,
3TIER,/organization/3tier-environmental-forecast-group,Clean Technology,USA,WA,Seattle,B,2007-09-05,2007,"2,000,000"
3TIER,/organization/3tier-environmental-forecast-group,Clean Technology,USA,WA,Seattle,venture,2008-12-18,2008,"10,000,000"
3TIER,/organization/3tier-environmental-forecast-group,Clean Technology,USA,WA,Seattle,venture,2010-02-25,2010,"3,000,000"
3VR,/organization/3vr-security,Security,USA,CA,San Francisco,B,2006-01-17,2006,"10,000,000"
3VR,/organization/3vr-security,Security,USA,CA,San Francisco,C,2006-09-28,2006,"9,000,000"
3VR,/organization/3vr-security,Security,USA,CA,San Francisco,A,2009-01-15,2009,"5,000,000"
3VR,/organization/3vr-security,Security,USA,CA,San Francisco,D,2009-08-20,2009,"12,000,000"
3VR,/organization/3vr-security,Security,USA,CA,San Francisco,E,2010-12-21,2010,"17,000,000"
3VR,/organization/3vr-security,Security,USA,CA,San Francisco,venture,2015-01-13,2015,"8,000,000"
3X Systems,/organization/3x-systems,Flash Storage,USA,OH,Columbus,A,2008-02-20,2008,"1,700,000"
3X Systems,/organization/3x-systems,Flash Storage,USA,OH,Columbus,venture,2010-05-26,2010,"1,693,925"
4-Tell,/organization/4-tell,E-Commerce,USA,WA,Stevenson,venture,2011-12-19,2011,"959,979"
4-Tell,/organization/4-tell,E-Commerce,USA,WA,Stevenson,A,2012-01-01,2012,"1,000,000"
40billion.com,/organization/40billion-com,Entrepreneur,USA,GA,Atlanta,seed,2009-06-01,2009,"380,000"
40billion.com,/organization/40billion-com,Entrepreneur,USA,GA,Atlanta,seed,2010-06-01,2010,"620,000"
410 Labs,/organization/410-labs,Messaging,USA,MD,Baltimore,A,2011-07-11,2011,"750,000"
41st Parameter,/organization/41st-parameter,Security,USA,CA,San Jose,B,2006-05-08,2006,"11,200,000"
41st Parameter,/organization/41st-parameter,Security,USA,CA,San Jose,C,2007-08-09,2007,"10,070,000"
41st Parameter,/organization/41st-parameter,Security,USA,CA,San Jose,venture,2009-12-22,2009,"3,794,570"
41st Parameter,/organization/41st-parameter,Security,USA,CA,San Jose,D,2012-04-11,2012,"13,000,000"
422 Group,/organization/422-group,Software,USA,GA,Tucker,venture,2010-06-15,2010,"1,000,000"
42Floors,/organization/42floors,Commercial Real Estate,USA,CA,San Francisco,seed,2011-12-01,2011,"400,000"
42Floors,/organization/42floors,Commercial Real Estate,USA,CA,San Francisco,A,2012-11-16,2012,"5,000,000"
42Floors,/organization/42floors,Commercial Real Estate,USA,CA,San Francisco,B,2013-01-31,2013,"12,000,000"
480 Biomedical,/organization/480-biomedical,Biotechnology,USA,MA,Watertown,A,2012-02-14,2012,"15,000,000"
480 Biomedical,/organization/480-biomedical,Biotechnology,USA,MA,Watertown,venture,2013-04-12,2013,"17,956,999"
4Home,/organization/4home,Cloud Computing,USA,CA,Sunnyvale,A,2006-08-01,2006,"2,850,000"
