name,crunchlink,category,country,state,city,round,date,year,money,
makr,/organization/makr,Design,USA,NY,Brooklyn,seed,2013-11-14,2013,"865,000"
Malauzai Software,/organization/malauzai-software,Software,USA,TX,Austin,venture,2011-02-28,2011,"1,275,000"
Malauzai Software,/organization/malauzai-software,Software,USA,TX,Austin,venture,2012-04-05,2012,"2,300,000"
Malauzai Software,/organization/malauzai-software,Software,USA,TX,Austin,B,2013-11-03,2013,"3,000,000"
Malauzai Software,/organization/malauzai-software,Software,USA,TX,Austin,C,2014-05-22,2014,"6,480,000"
Malcovery Security,/organization/malcovery-security,Security,USA,PA,Bethel Park,venture,2014-04-15,2014,"2,575,400"
Malhar,/organization/malhar,Enterprise Software,USA,CA,Sunnyvale,seed,2012-05-29,2012,"750,000"
Malls.Com,/organization/malls-com,Commercial Real Estate,USA,CA,San Francisco,seed,2014-02-01,2014,"500,000"
Maluuba,/organization/maluuba,Mobile,CAN,ON,Kitchener,A,2012-02-29,2012,"2,000,000"
Malwarebytes,/organization/malwarebytes,Software,USA,CA,San Jose,A,2014-07-10,2014,"30,000,000"
MamaBear App,/organization/mamabear-app,Apps,USA,FL,Tampa,seed,2012-02-24,2012,"700,000"
MamaBear App,/organization/mamabear-app,Apps,USA,FL,Tampa,angel,2014-07-15,2014,"1,400,000"
Mamapedia,/organization/mamapedia,Social Media,USA,CA,San Francisco,A,2005-12-01,2005,"4,600,000"
Mammotome,/organization/mammotome,Manufacturing,USA,OH,Cincinnati,venture,2010-07-08,2010,"14,000,000"
Man Crates,/organization/man-crates,E-Commerce,USA,CA,Redwood City,seed,2015-03-03,2015,"3,100,000"
Managed by Q,/organization/managed-by-q,Bridging Online and Offline,USA,NY,New York,seed,2014-08-11,2014,"1,650,000"
Managed Methods,/organization/managed-methods,Software,USA,CO,Boulder,venture,2012-08-23,2012,"862,914"
Managed Methods,/organization/managed-methods,Software,USA,CO,Boulder,venture,2013-11-25,2013,"2,000,002"
Managed Methods,/organization/managed-methods,Software,USA,CO,Boulder,venture,2014-10-21,2014,"1,500,000"
Managed Objects,/organization/managed-objects,Software,USA,MA,Waltham,F,2006-09-18,2006,"7,000,000"
Managed Systems,/organization/managed-systems,Consulting,USA,NY,New York,venture,2007-05-16,2007,"3,000,000"
ManageIQ,/organization/manageiq,Cloud Management,USA,NJ,Mahwah,venture,2009-08-06,2009,"3,210,000"
ManageIQ,/organization/manageiq,Cloud Management,USA,NJ,Mahwah,venture,2011-05-02,2011,"1,225,000"
Management Health Solutions,/organization/management-health-solutions,Analytics,USA,CT,Fairfield,B,2010-04-27,2010,"7,000,000"
ManagingLife,/organization/managinglife,Health and Wellness,CAN,ON,Toronto,seed,2011-06-01,2011,"110,000"
Manatron,/organization/manatron,Software,USA,MI,Portage,venture,2011-02-09,2011,"250,005"
Mandoyo,/organization/mandoyo,Professional Services,USA,NY,New York,seed,2013-07-10,2013,"300,000"
Mandoyo,/organization/mandoyo,Professional Services,USA,NY,New York,A,2013-08-30,2013,"400,000"
Mangia,/organization/mangia,Mobile,USA,UT,Salt Lake City,seed,2009-03-10,2009,"844,994"
Mangia,/organization/mangia,Mobile,USA,UT,Salt Lake City,venture,2010-10-26,2010,"477,417"
Mango Health,/organization/mango-health,Mobile,USA,CA,San Francisco,seed,2012-07-31,2012,"1,450,000"
Mango Health,/organization/mango-health,Mobile,USA,CA,San Francisco,seed,2012-11-05,2012,"1,600,000"
Mango Health,/organization/mango-health,Mobile,USA,CA,San Francisco,A,2014-05-21,2014,"5,250,000"
Mango-Mate,/organization/mango-mate,Hardware + Software,USA,CT,Norwalk,venture,2007-02-27,2007,"6,000,000"
mangofizz jobs,/organization/mangofizz-jobs,Career Management,USA,TX,Plano,seed,2007-01-01,2007,"300,000"
Mangrove Systems,/organization/mangrove-systems,Web Hosting,USA,CT,Wallingford,C,2006-08-11,2006,"13,000,000"
Mangstor,/organization/mangstor,Web Hosting,USA,TX,Austin,venture,2013-07-05,2013,"3,999,999"
Manhattan Labs,/organization/manhattan-labs,Health and Wellness,USA,NY,New York,venture,2013-01-22,2013,"3,700,000"
Manhattan Pharmaceuticals,/organization/manhattan-pharmaceuticals,Biotechnology,USA,NY,New York,venture,2010-03-03,2010,"2,547,500"
Manhattan Scientifics,/organization/manhattan-scientifics,Health and Wellness,USA,NY,New York,seed,2012-02-07,2012,"300,000"
Manhattan Scientifics,/organization/manhattan-scientifics,Health and Wellness,USA,NY,New York,venture,2014-11-21,2014,"2,000,000"
maniaTV,/organization/maniatv,Entertainment,USA,FL,Hollywood,A,2004-10-01,2004,"4,600,000"
maniaTV,/organization/maniatv,Entertainment,USA,FL,Hollywood,B,2005-09-01,2005,"12,000,000"
maniaTV,/organization/maniatv,Entertainment,USA,FL,Hollywood,C,2008-03-03,2008,"5,500,000"
Manicube,/organization/manicube,Consulting,USA,NY,New York,A,2014-04-14,2014,"5,000,000"
Manifest,/organization/manifest,Social Media,USA,MO,Moscow Mills,seed,2012-01-15,2012,"100,000"
Manifest Digital,/organization/manifest-digital,Consulting,USA,IL,Chicago,venture,2009-01-26,2009,"9,000,000"
Manifest Digital,/organization/manifest-digital,Consulting,USA,IL,Chicago,venture,2014-09-30,2014,"6,000,000"
Manpacks,/organization/manpacks,E-Commerce,USA,RI,Providence,angel,2011-08-01,2011,"500,000"
Manta,/organization/manta,Curated Web,USA,OH,Columbus,venture,2011-01-04,2011,"3,215,715"
Manta,/organization/manta,Curated Web,USA,OH,Columbus,venture,2012-04-02,2012,"44,000,000"
Mantara,/organization/mantara,Software,USA,NY,New York,B,2007-09-28,2007,"12,800,000"
Mantara,/organization/mantara,Software,USA,NY,New York,venture,2008-07-07,2008,"5,800,000"
Mantara,/organization/mantara,Software,USA,NY,New York,C,2009-05-04,2009,"7,600,000"
Mantara,/organization/mantara,Software,USA,NY,New York,D,2010-09-15,2010,"7,499,999"
Mantara,/organization/mantara,Software,USA,NY,New York,venture,2011-05-10,2011,"7,000,000"
"Mantrii, Inc.",/organization/mantrii-inc,Mobile Enterprise,USA,CA,Los Angeles,seed,2012-11-01,2012,"600,000"
ManyWho,/organization/manywho,Information Services,USA,CA,San Francisco,seed,2013-09-01,2013,"310,000"
ManyWho,/organization/manywho,Information Services,USA,CA,San Francisco,venture,2014-07-01,2014,"966,115"
Manzama,/organization/manzama,Legal,USA,OR,Bend,angel,2010-10-01,2010,"200,000"
Manzama,/organization/manzama,Legal,USA,OR,Bend,A,2014-07-17,2014,"1,300,000"
MAP Pharmaceuticals,/organization/map-pharmaceuticals,Medical,USA,CA,Mountain View,D,2007-03-28,2007,"50,000,000"
Mapbox,/organization/mapbox,Open Source,USA,DC,Washington,A,2013-10-16,2013,"10,000,000"
MapD,/organization/mapd,Big Data Analytics,USA,CA,San Francisco,seed,2014-10-14,2014,"1,500,000"
Mapkin,/organization/mapkin,Gps,USA,MA,Boston,seed,2014-01-01,2014,"368,000"
Mapkin,/organization/mapkin,Gps,USA,MA,Boston,seed,2014-08-19,2014,"1,200,000"
Maple,/organization/trymaple,Mobile,USA,NY,New York,seed,2014-11-05,2014,"4,000,000"
Maple,/organization/trymaple,Mobile,USA,NY,New York,A,2015-03-20,2015,"22,000,000"
Maple Farm Media,/organization/maple-farm-media,Network Security,USA,MA,Boston,seed,2012-04-01,2012,"500,000"
Maples ESM Technologies,/organization/maples-esm-technologies,Consulting,USA,NJ,Somerset,venture,2005-12-15,2005,"4,000,000"
MapMyFitness,/organization/mapmyfitness,Android,USA,CO,Denver,angel,2007-01-01,2007,"1,500,000"
MapMyFitness,/organization/mapmyfitness,Android,USA,CO,Denver,venture,2009-06-09,2009,"150,000"
MapMyFitness,/organization/mapmyfitness,Android,USA,CO,Denver,A,2010-08-30,2010,"5,000,000"
MapMyFitness,/organization/mapmyfitness,Android,USA,CO,Denver,venture,2012-07-05,2012,"3,000,000"
MapMyFitness,/organization/mapmyfitness,Android,USA,CO,Denver,B,2012-06-05,2012,"9,000,000"
MapMyFitness,/organization/mapmyfitness,Android,USA,CO,Denver,C,2013-06-19,2013,"5,000,000"
MapR Technologies,/organization/mapr-technologies,Analytics,USA,CA,San Jose,A,2009-07-22,2009,"9,000,000"
MapR Technologies,/organization/mapr-technologies,Analytics,USA,CA,San Jose,B,2011-08-30,2011,"20,000,000"
MapR Technologies,/organization/mapr-technologies,Analytics,USA,CA,San Jose,C,2013-07-26,2013,"34,999,994"
Maps InDeed,/organization/maps-indeed,Public Transportation,USA,VA,Herndon,venture,2010-05-04,2010,"150,000"
Maptia,/organization/maptia,Finance,USA,WA,Seattle,seed,2012-08-01,2012,"100,000"
MAR Systems,/organization/mar-systems,Clean Technology,USA,OH,Cleveland,seed,2007-07-12,2007,"350,000"
MAR Systems,/organization/mar-systems,Clean Technology,USA,OH,Cleveland,A,2008-11-05,2008,"150,000"
Marakana,/organization/marakana,Education,USA,CA,San Francisco,angel,2007-01-01,2007,"200,000"
Maraquia,/organization/maraquia,Clean Technology,USA,CA,Palo Alto,angel,2012-12-01,2012,"500,000"
Marathon Patent Group,/organization/marathon-patent-group,Licensing,USA,VA,Alexandria,A,2014-05-11,2014,"6,500,000"
Marathon Technologies,/organization/marathon-technologies,Software,USA,MA,Littleton,B,2007-03-26,2007,"12,000,000"
Marathon Technologies,/organization/marathon-technologies,Software,USA,MA,Littleton,venture,2009-08-05,2009,"7,019,986"
Marble Security,/organization/marble-security,Security,USA,CA,Menlo Park,venture,2006-01-01,2006,"6,000,000"
Marble Security,/organization/marble-security,Security,USA,CA,Menlo Park,venture,2007-01-26,2007,"2,600,000"
Marble Security,/organization/marble-security,Security,USA,CA,Menlo Park,venture,2009-02-05,2009,"12,600,001"
Marble Security,/organization/marble-security,Security,USA,CA,Menlo Park,B,2010-05-03,2010,"22,000,000"
Marcadia Biotech,/organization/marcadia-biotech,Biotechnology,USA,IN,Carmel,venture,2006-03-01,2006,"1,000,000"
Marcadia Biotech,/organization/marcadia-biotech,Biotechnology,USA,IN,Carmel,A,2007-05-15,2007,"15,000,000"
MarcoPolo Learning,/organization/marcopolo-learning,Education,USA,NY,New York,seed,2013-05-31,2013,"1,000,000"
MarcoPolo Learning,/organization/marcopolo-learning,Education,USA,NY,New York,seed,2014-07-11,2014,"500,000"
Mardil Medical,/organization/mardil-medical,Hardware + Software,USA,MN,Plymouth,venture,2010-11-23,2010,"2,775,000"
Mardil Medical,/organization/mardil-medical,Hardware + Software,USA,MN,Plymouth,venture,2013-12-31,2013,"500,000"
Margherita Inventions,/organization/margherita-inventions,Health Care,USA,MO,Isabella,seed,2012-09-29,2012,"452,550"
Marginize,/organization/marginize,Finance,USA,MA,Cambridge,seed,2010-08-11,2010,"650,000"
Marginize,/organization/marginize,Finance,USA,MA,Cambridge,A,2011-11-22,2011,"1,300,000"
Marginize,/organization/marginize,Finance,USA,MA,Cambridge,venture,2012-12-03,2012,"309,994"
MarginPoint,/organization/nexiant,Enterprise Software,USA,CA,Lake Forest,E,2006-01-31,2006,"13,750,000"
Marin Software,/organization/marin-software,Advertising,USA,CA,San Francisco,A,2006-10-05,2006,"2,000,000"
Marin Software,/organization/marin-software,Advertising,USA,CA,San Francisco,B,2008-04-09,2008,"7,250,000"
Marin Software,/organization/marin-software,Advertising,USA,CA,San Francisco,C,2009-04-28,2009,"13,000,000"
Marin Software,/organization/marin-software,Advertising,USA,CA,San Francisco,D,2010-06-02,2010,"11,200,000"
Marin Software,/organization/marin-software,Advertising,USA,CA,San Francisco,E,2011-04-05,2011,"16,000,000"
Marin Software,/organization/marin-software,Advertising,USA,CA,San Francisco,F,2012-02-13,2012,"30,000,000"
Marin Software,/organization/marin-software,Advertising,USA,CA,San Francisco,G,2012-06-28,2012,"818,427"
Marine Drive Mobile,/organization/marine-drive-mobile,Software,USA,CA,San Francisco,venture,2013-11-06,2013,"600,000"
Marinelayer,/organization/marinelayer,E-Commerce,USA,CA,San Francisco,venture,2013-07-23,2013,"1,741,441"
Marinelayer,/organization/marinelayer,E-Commerce,USA,CA,San Francisco,venture,2014-06-13,2014,"1,997,500"
Marinus Pharmaceuticals,/organization/marinus-pharmaceuticals,Biotechnology,USA,CT,Branford,B,2009-05-03,2009,"20,000,000"
Marinus Pharmaceuticals,/organization/marinus-pharmaceuticals,Biotechnology,USA,CT,Branford,venture,2012-12-19,2012,"11,435,690"
Marinus Pharmaceuticals,/organization/marinus-pharmaceuticals,Biotechnology,USA,CT,Branford,C,2013-01-07,2013,"21,000,000"
MARIPOSA BIOTECHNOLOGY,/organization/mariposa-biotechnology,Biotechnology,USA,CA,Irvine,seed,2013-06-18,2013,"2,427,823"
Maritime Broadband,/organization/maritime-broadband,Manufacturing,USA,NY,Brooklyn,venture,2014-04-28,2014,"3,640,000"
Mark Forged,/organization/mark-forged,Hardware + Software,USA,MA,Waltham,seed,2013-07-01,2013,"1,000,000"
Mark One,/organization/mark-one,Consumer Goods,USA,CA,San Francisco,seed,2014-08-21,2014,"3,000,000"
Mark43,/organization/mark43,Software,USA,NY,New York,seed,2013-07-15,2013,"1,950,000"
Markerly,/organization/markerly,Advertising,USA,CA,Menlo Park,seed,2014-01-14,2014,"800,000"
Market Force Information,/organization/market-force-information,Analytics,USA,CO,Louisville,B,2009-03-01,2009,"32,000,000"
Market6,/organization/market6,Analytics,USA,IL,Deerfield,A,2006-06-06,2006,"5,500,000"
Market76,/organization/market76,Enterprise Software,USA,CT,Stamford,venture,2011-04-07,2011,"849,158"
MarketArt,/organization/marketart,Event Management,USA,NY,East Greenbush,venture,2009-10-15,2009,"200,000"
MarketArt,/organization/marketart,Event Management,USA,NY,East Greenbush,venture,2009-12-23,2009,"300,000"
MarketBridge,/organization/marketbridge,Analytics,USA,MD,Bethesda,seed,2000-01-01,2000,"5,000,000"
Marketcetera,/organization/marketcetera,Software,USA,CA,San Francisco,A,2008-06-05,2008,"4,000,000"
Marketecture,/organization/marketecture,Software,USA,UT,American Fork,seed,2010-01-01,2010,"320,000"
Marketecture,/organization/marketecture,Software,USA,UT,American Fork,angel,2011-01-01,2011,"160,000"
Marketecture,/organization/marketecture,Software,USA,UT,American Fork,angel,2013-01-01,2013,"100,000"
MarketFactory,/organization/market-factory,Finance,USA,NY,New York,venture,2009-10-08,2009,"300,000"
MarketFactory,/organization/market-factory,Finance,USA,NY,New York,venture,2010-04-20,2010,"1,326,707"
MarketFactory,/organization/market-factory,Finance,USA,NY,New York,venture,2013-09-10,2013,"1,943,282"
Marketfish,/organization/marketfish,Advertising,USA,WA,Seattle,venture,2009-06-30,2009,"1,575,000"
Marketfish,/organization/marketfish,Advertising,USA,WA,Seattle,venture,2010-09-01,2010,"1,500,000"
Marketfish,/organization/marketfish,Advertising,USA,WA,Seattle,A,2011-06-08,2011,"4,500,000"
Marketforce One,/organization/marketforce-one,Consulting,USA,CA,Saratoga,venture,2010-04-22,2010,"1,600,000"
Marketing Technology Concepts,/organization/marketing-technology-concepts,Software,USA,IL,Schaumburg,venture,2014-02-04,2014,"400,000"
MarketLive,/organization/marketlive,E-Commerce,USA,CA,Petaluma,E,2008-05-05,2008,"20,000,000"
MarketMeSuite,/organization/market-me-tweet-ltd,Facebook Applications,USA,MA,Cambridge,seed,2011-09-22,2011,"200,000"
MarketMeSuite,/organization/market-me-tweet-ltd,Facebook Applications,USA,MA,Cambridge,A,2012-08-06,2012,"1,100,000"
MarketMeSuite,/organization/market-me-tweet-ltd,Facebook Applications,USA,MA,Cambridge,venture,2013-09-11,2013,"1,250,000"
Marketo,/organization/marketo,Optimization,USA,CA,San Mateo,A,2006-10-01,2006,"5,400,000"
Marketo,/organization/marketo,Optimization,USA,CA,San Mateo,B,2008-08-12,2008,"8,000,000"
Marketo,/organization/marketo,Optimization,USA,CA,San Mateo,C,2009-09-22,2009,"10,000,000"
Marketo,/organization/marketo,Optimization,USA,CA,San Mateo,D,2010-04-27,2010,"10,000,000"
Marketo,/organization/marketo,Optimization,USA,CA,San Mateo,E,2010-11-17,2010,"25,000,000"
Marketo,/organization/marketo,Optimization,USA,CA,San Mateo,F,2011-11-16,2011,"50,000,000"
Marketo Japan,/organization/marketo-japan,Marketing Automation,USA,CA,San Mateo,A,2014-03-25,2014,"4,600,000"
Marketocracy,/organization/marketocracy,Finance,USA,CA,San Mateo,venture,2007-02-19,2007,"16,000,000"
Marketocracy,/organization/marketocracy,Finance,USA,CA,San Mateo,venture,2012-10-01,2012,"250,000"
MarketPage,/organization/marketpage,Marketplaces,USA,CA,Santa Clara,venture,2011-08-01,2011,"1,000,000"
MarketRiders,/organization/marketriders,Personal Finance,USA,CA,Palo Alto,seed,2008-01-15,2008,"200,000"
MarketShare,/organization/marketshare,Analytics,USA,CA,Los Angeles,venture,2011-04-14,2011,"32,000,000"
MarketShare,/organization/marketshare,Analytics,USA,CA,Los Angeles,venture,2013-04-16,2013,"38,000,000"
MarketShare,/organization/marketshare,Analytics,USA,CA,Los Angeles,venture,2014-12-19,2014,"10,000,000"
MarketSharing,/organization/marketsharing,Network Security,USA,NY,New York,seed,2011-04-27,2011,"1,000,000"
Marketsync,/organization/marketsync,Software,USA,WA,Kirkland,venture,2010-11-18,2010,"375,672"
Marketsync,/organization/marketsync,Software,USA,WA,Kirkland,venture,2010-05-11,2010,"316,100"
MarketTools,/organization/markettools,Software,USA,CA,San Francisco,D,2007-01-01,2007,"60,000,000"
MarketTools,/organization/markettools,Software,USA,CA,San Francisco,E,2008-04-04,2008,"23,000,000"
Marketware,/organization/marketware,Software,USA,UT,Midvale,seed,2015-01-06,2015,"1,400,000"
Marketwired,/organization/marketwired,Advertising,CAN,ON,Toronto,A,1990-11-30,1990,"17,550,000"
Marketwired,/organization/marketwired,Advertising,CAN,ON,Toronto,B,2001-08-15,2001,"2,000,000"
Marketwired,/organization/marketwired,Advertising,CAN,ON,Toronto,A,2001-12-20,2001,"4,000,000"
Marketwired,/organization/marketwired,Advertising,CAN,ON,Toronto,D,2003-09-30,2003,"4,600,000"
MarkITx,/organization/markitx,E-Commerce,USA,IL,Chicago,seed,2012-11-06,2012,"1,060,000"
MarkITx,/organization/markitx,E-Commerce,USA,IL,Chicago,A,2013-12-06,2013,"4,200,000"
MarkITx,/organization/markitx,E-Commerce,USA,IL,Chicago,seed,2013-07-11,2013,"2,150,000"
MarkLogic,/organization/marklogic,Enterprise Software,USA,CA,San Carlos,A,2002-01-01,2002,"6,000,000"
MarkLogic,/organization/marklogic,Enterprise Software,USA,CA,San Carlos,B,2003-01-01,2003,"12,000,000"
MarkLogic,/organization/marklogic,Enterprise Software,USA,CA,San Carlos,C,2007-07-16,2007,"15,000,000"
MarkLogic,/organization/marklogic,Enterprise Software,USA,CA,San Carlos,D,2009-05-26,2009,"12,500,000"
MarkLogic,/organization/marklogic,Enterprise Software,USA,CA,San Carlos,venture,2010-10-18,2010,"2,337,880"
MarkLogic,/organization/marklogic,Enterprise Software,USA,CA,San Carlos,E,2013-04-10,2013,"25,725,481"
MarkMonitor,/organization/markmonitor,Enterprise Software,USA,CA,San Francisco,venture,2006-05-11,2006,"12,000,000"
Markr,/organization/markr,Apps,USA,IL,Chicago,seed,2014-03-01,2014,"1,000,000"
MarkTend,/organization/marktend,Law Enforcement,USA,CA,Sacramento,seed,2008-09-17,2008,"150,000"
Marlborough Software,/organization/marlborough-software,Software,USA,MA,Marlborough,venture,2012-10-12,2012,"2,000,000"
Marqeta,/organization/marqeta,Curated Web,USA,CA,Emeryville,A,2011-06-14,2011,"5,567,940"
Marqeta,/organization/marqeta,Curated Web,USA,CA,Emeryville,B,2013-05-15,2013,"14,000,000"
Marqui,/organization/marqui,Software,CAN,BC,Vancouver,B,2006-02-10,2006,"7,500,000"
Marquiss Wind Power,/organization/marquiss-wind-power,Clean Technology,USA,CA,Folsom,A,2008-01-25,2008,"1,300,000"
Marrone Bio Innovations,/organization/marrone-bio-innovations,Biotechnology,USA,CA,Davis,C,2011-06-01,2011,"25,400,000"
Marseille Networks,/organization/marseille-networks,Displays,USA,CA,Santa Clara,venture,2009-12-18,2009,"2,500,000"
Marseille Networks,/organization/marseille-networks,Displays,USA,CA,Santa Clara,B,2011-04-05,2011,"4,500,000"
Marshad Technology Group,/organization/marshad-technology-group,Advertising,USA,NY,New York,seed,2000-01-01,2000,"2,000,000"
Martini Media Inc,/organization/martini-media-network,Advertising,USA,CA,San Francisco,B,2010-06-08,2010,"6,290,000"
Martini Media Inc,/organization/martini-media-network,Advertising,USA,CA,San Francisco,venture,2011-12-07,2011,"13,000,000"
Martini Media Inc,/organization/martini-media-network,Advertising,USA,CA,San Francisco,D,2013-08-27,2013,"14,000,000"
MartMobi Technologies,/organization/martmobi-technologies,E-Commerce,USA,IL,Chicago,seed,2014-06-01,2014,"118,000"
MartMobi Technologies,/organization/martmobi-technologies,E-Commerce,USA,IL,Chicago,seed,2014-06-01,2014,"133,333"
Marucci Sports,/organization/marucci-sports,Manufacturing,USA,LA,Baton Rouge,venture,2010-01-06,2010,"2,375,000"
Marxent Labs,/organization/marxent-labs,Retail,USA,OH,Dayton,venture,2011-12-01,2011,"1,000,000"
Marxent Labs,/organization/marxent-labs,Retail,USA,OH,Dayton,seed,2012-07-16,2012,"400,000"
Marxent Labs,/organization/marxent-labs,Retail,USA,OH,Dayton,venture,2013-03-02,2013,"800,000"
Marxent Labs,/organization/marxent-labs,Retail,USA,OH,Dayton,venture,2014-05-16,2014,"500,000"
Maryland Energy and Sensor Technologies,/organization/maryland-energy-and-sensor-technologies,Clean Technology,USA,MD,College Park,seed,2013-01-01,2013,"100,000"
Masala,/organization/masala,Curated Web,USA,CA,San Francisco,A,2007-08-01,2007,"4,500,000"
Mascoma,/organization/mascoma-corporation,Clean Technology,USA,MA,Boston,venture,2006-11-12,2006,"30,000,000"
Mascoma,/organization/mascoma-corporation,Clean Technology,USA,MA,Boston,C,2008-05-12,2008,"61,000,000"
mascotsecret,/organization/mascotsecret,Events,USA,OH,Cleveland,venture,2013-08-07,2013,"510,000"
Mashable,/organization/mashable,News,USA,NY,New York,A,2014-03-02,2014,"14,000,000"
Mashable,/organization/mashable,News,USA,NY,New York,B,2015-01-28,2015,"17,000,000"
Mashalot,/organization/mashalot,Software,USA,MN,Minneapolis,venture,2013-12-22,2013,"200,000"
Mashape,/organization/mashape,Cloud Computing,USA,CA,San Francisco,angel,2010-04-01,2010,"101,000"
Mashape,/organization/mashape,Cloud Computing,USA,CA,San Francisco,seed,2011-08-15,2011,"1,500,000"
Mashed Pixel,/organization/mashed-pixel,Hardware + Software,USA,DC,Washington,seed,2010-06-24,2010,"100,000"
Masher Media,/organization/masher-media,Games,USA,CA,Calabasas,angel,2009-08-11,2009,"300,000"
Masher Media,/organization/masher-media,Games,USA,CA,Calabasas,seed,2009-02-01,2009,"175,000"
Mashery,/organization/mashery,Enterprises,USA,CA,San Francisco,A,2007-05-08,2007,"1,200,000"
Mashery,/organization/mashery,Enterprises,USA,CA,San Francisco,B,2008-10-29,2008,"7,000,000"
Mashery,/organization/mashery,Enterprises,USA,CA,San Francisco,C,2010-02-24,2010,"5,500,000"
Mashery,/organization/mashery,Enterprises,USA,CA,San Francisco,D,2011-05-04,2011,"11,000,000"
Mashery,/organization/mashery,Enterprises,USA,CA,San Francisco,venture,2012-07-23,2012,"10,000,000"
Mashgin,/organization/mashgin,Computer Vision,USA,CA,Palo Alto,seed,2014-12-01,2014,"120,000"
MashON,/organization/planetwide-media,Mass Customization,USA,CA,Los Angeles,venture,2009-10-28,2009,"1,200,000"
MashON,/organization/planetwide-media,Mass Customization,USA,CA,Los Angeles,C,2011-03-09,2011,"620,071"
Mashup Arts,/organization/mashup-arts,Music,CAN,NS,Halifax,angel,2008-08-01,2008,"1,100,000"
Mashup Arts,/organization/mashup-arts,Music,CAN,NS,Halifax,seed,2008-01-01,2008,"480,000"
Mashups,/organization/mashups,Mobile,USA,CA,Los Angeles,seed,2015-01-20,2015,"100,000"
Mashwork,/organization/mashwork,Analytics,USA,NY,New York,venture,2014-05-06,2014,"1,500,000"
Maskless Lithography,/organization/maskless-lithography,Hardware + Software,USA,CA,San Jose,venture,2012-07-01,2012,"500,000"
Maskless Lithography,/organization/maskless-lithography,Hardware + Software,USA,CA,San Jose,venture,2012-03-27,2012,"2,812,410"
Mass Appeal,/organization/mass-appeal,News,USA,NY,New York,angel,2013-05-01,2013,"1,200,000"
Mass Relevance,/organization/mass-relevance,Twitter Applications,USA,TX,Austin,A,2010-12-20,2010,"2,200,000"
Mass Relevance,/organization/mass-relevance,Twitter Applications,USA,TX,Austin,A,2012-05-16,2012,"3,300,000"
Massachusetts Clean Energy Center,/organization/massachusetts-clean-energy-center,Clean Technology,USA,MA,Boston,seed,2013-09-05,2013,"300,000"
Massdrop,/organization/massdrop,E-Commerce,USA,CA,San Francisco,seed,2013-09-01,2013,"1,350,000"
Massdrop,/organization/massdrop,E-Commerce,USA,CA,San Francisco,A,2014-09-24,2014,"6,500,000"
Massive Damage,/organization/massive-damage,Location Based Services,CAN,ON,Toronto,angel,2011-08-31,2011,"383,427"
Massive Health,/organization/massive-health,Diabetes,USA,CA,San Francisco,seed,2011-02-02,2011,"2,250,000"
Massively Parallel Technologies,/organization/massively-parallel-technologies,Software,USA,CO,Boulder,venture,2011-08-10,2011,"5,388,575"
MassiveU,/organization/massiveu,Social Network Media,USA,FL,Naples,seed,2014-10-15,2014,"700,000"
MassMutual,/organization/massmutual,Finance,USA,MA,Springfield,seed,2014-06-26,2014,"6,000,000"
MassRoots,/organization/massroots-app,Mobile,USA,CO,Denver,seed,2013-12-17,2013,"150,000"
MassRoots,/organization/massroots-app,Mobile,USA,CO,Denver,A,2014-03-26,2014,"475,000"
MassRoots,/organization/massroots-app,Mobile,USA,CO,Denver,B,2014-09-26,2014,"500,000"
Masterseek,/organization/masterseek,Search,USA,NV,Carson City,angel,2000-05-01,2000,"2,000,000"
Masterseek,/organization/masterseek,Search,USA,NV,Carson City,A,2007-05-01,2007,"12,000,000"
Masterson Industries,/organization/masterson-industries,Manufacturing,USA,NM,Albuquerque,A,2013-08-13,2013,"1,500,000"
MasteryConnect,/organization/masteryconnect,Education,USA,UT,Sandy,angel,2009-10-01,2009,"150,000"
MasteryConnect,/organization/masteryconnect,Education,USA,UT,Sandy,seed,2011-12-05,2011,"1,100,000"
MasteryConnect,/organization/masteryconnect,Education,USA,UT,Sandy,A,2013-01-19,2013,"4,250,000"
MasteryConnect,/organization/masteryconnect,Education,USA,UT,Sandy,A,2014-03-05,2014,"3,425,000"
MasteryConnect,/organization/masteryconnect,Education,USA,UT,Sandy,B,2014-09-25,2014,"15,200,000"
Matatena Games,/organization/matatena-games,Games,USA,TX,Houston,seed,2011-01-15,2011,"120,000"
Matchbin,/organization/matchbin,Curated Web,USA,UT,Bountiful,venture,2010-08-10,2010,"5,316,375"
Matchbin,/organization/matchbin,Curated Web,USA,UT,Bountiful,venture,2011-10-27,2011,"4,174,997"
Matchbook,/organization/matchbook,Restaurants,USA,NY,New York,seed,2012-02-13,2012,"250,000"
Matchbox,/organization/matchbox,Enterprise Software,USA,MA,Cambridge,venture,2011-12-19,2011,"2,500,000"
MatchMine,/organization/matchmine,Reviews and Recommendations,USA,MA,Needham,A,2007-09-01,2007,"10,000,000"
Matchpin,/organization/matchpin,Local,USA,CA,San Francisco,seed,2011-05-25,2011,"250,000"
Matchpoint,/organization/matchpoint,Film,USA,CA,West Hollywood,seed,2012-01-31,2012,"500,000"
Matchpoint Careers,/organization/matchpoint-careers,Human Resources,USA,NY,New York,A,2011-04-08,2011,"1,000,000"
Matchpoint Careers,/organization/matchpoint-careers,Human Resources,USA,NY,New York,angel,2012-07-01,2012,"1,750,000"
Matchup,/organization/matchup,Tracking,USA,IL,Chicago,seed,2014-11-07,2014,"800,000"
